spot_ticker,premium,daysleft,annual_return,fdate,spot_last,future_last,ssystime,sdatetime,fdatetime,fsystime
ltc_usd,0.006292151083949609,3,2.145015206207072,this_week,154.8596,155.834,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.004173172694206561,3,1.6597707897574703,this_week,9124.9998,9163.08,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.0012745922862685223,10,1.0475907405992508,next_week,67.3941,67.48,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.16694691874204692,51,3.019086325947355,quarter,17.6032,20.542,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
ltc_usd,0.14358068513959588,51,2.612206905452536,quarter,154.4386,176.613,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.14104013701832488,51,2.570957096291313,quarter,20.9607,23.917,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.13175552773929533,51,2.424935295039365,quarter,67.3467,76.22,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.13005295105256362,51,2.3989476941603027,quarter,0.7743,0.875,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.128859595425709,51,2.3808758285156117,quarter,1535.9058,1733.822,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eth_usd,0.10928178383103868,51,2.1006735241067953,quarter,730.1409,809.932,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.04844573713870196,10,5.62247425993406,next_week,17.6032,18.456,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
ltc_usd,0.04637053171940166,10,5.230229719582587,next_week,154.4386,161.6,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.039564518360550936,10,4.1217140099866105,next_week,20.9607,21.79,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.03448275862068973,10,3.4466634121538866,next_week,0.7743,0.801,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btc_usd,0.026304977298201516,51,1.2042146279383041,quarter,9122.9997,9362.98,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
btg_usd,0.023064233288342374,3,16.027030236500902,this_week,67.3467,68.9,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
bch_usd,0.02028913491960248,10,2.0816085263465394,next_week,1535.9058,1567.068,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eth_usd,0.0195689626481683,10,2.0286453611130937,next_week,730.1409,744.429,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
xrp_usd,0.01898488957768313,3,9.856941523083343,this_week,0.7743,0.789,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
eos_usd,0.015042719505544302,3,6.150715856994745,this_week,17.6032,17.868,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
etc_usd,0.012084520078050802,3,4.312295543599546,this_week,20.9607,21.214,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06,2018-05-09 17:06
